source,buyer_id,company,country,products,category,posted_date,detail_url,notes,quality_tier,official_website,alt_websites,emails,phone,address,contact_person,social,scale_revenue,extra_notes
tradeKorea_KITA,1635,Sukoshi Mart,Canada,"Perfume, Hair Care, Cosmetics, Collagen Jelly",K-Beauty Retailer,2026,https://kr.tradekorea.com/seller/buyer/buyerMatchingDetail.do?buyersourcingno=1635,"북미 K-Beauty 리테일, USD 38.5M 매출, 20+ 오프라인 매장 (캐나다·미국)",A,https://www.sukoshi.com/,https://sukoshimart.com,main: hello@sukoshimart.com,+1 416-200-9987,"100 City Centre Drive, 2-948, Mississauga, Ontario L5B 2C9, Canada",,@sukoshimart (Instagram/Facebook),20+ 오프라인 매장 (캐나다·미국) / USD 38.5M,KITA가 검증한 유망 바이어 매칭. 2018 설립. 북미 K-Beauty/J-Beauty/C-Beauty 옴니채널 리테일
tradeKorea_KITA,1632,Lena Reklam Kozmetik,Türkiye,"Skincare, Color Cosmetics",K-Beauty Distributor,2026,https://kr.tradekorea.com/seller/buyer/buyerMatchingDetail.do?buyersourcingno=1632,"'K-LAND' 브랜드로 한국산 뷰티 유통, 2018 설립, 현지 드럭스토어 협력",A,https://kland.com.tr/,,main: info@kland.com.tr,+90 850 308 50 06,"Prof. Dr. Ahmet Taner Kışlalı Mh. 2742. Sk. No:22 Çankaya/Ankara, Türkiye",,@klandturkiye (Instagram),"1,000+ 제품, 20+ 브랜드, 2018 설립",튀르키예 K-Beauty 자체 브랜드 'K-LAND' 운영. 현지 드럭스토어 협력 유통
tradeKorea_KITA,1631,"KOSMELITA, UAB",Lithuania,"Wellness Products, Cosmetics",Cosmetics Distributor,2026,https://kr.tradekorea.com/seller/buyer/buyerMatchingDetail.do?buyersourcingno=1631,"리투아니아 최대 화장품 유통, Eurokos 브랜드, 120+ 매장, 20K SKU",A,https://www.eurokos.lt/,,,+370 37 351624,"Taikos pr. 100, LT-51194 Kaunas, Lithuania",,LinkedIn: UAB KOSMELITA (Eurokos),"120+ 매장, 20,000+ SKU, 1995 설립",리투아니아 최대 화장품·뷰티 유통체인 'Eurokos' 운영
tradeKorea_KITA,1615,"FRONTIER Co., Ltd.",Japan,"Stationery, Cosmetics, Beauty, Accessories",Wholesale Distributor,2026,https://kr.tradekorea.com/seller/buyer/buyerMatchingDetail.do?buyersourcingno=1615,일본 Loft/Hands/Plaza/Don Quijote/Aeon/7-Eleven 등 주요 리테일 공급,A,https://www.frontiersman.co.jp/,,,,"Osaka, Japan",,,,Loft/Hands/Plaza/Don Quijote/Aeon/Cainz/7-Eleven 등 일본 주요 리테일 채널 공급. cosmetics는 카테고리 확장 추진 중
tradeKorea_KITA,1595,KOSMELITA UAB,Lithuania,"skincare, cosmetics, haircare, massage creams",Cosmetics Distributor,2026,https://kr.tradekorea.com/seller/buyer/buyerMatchingDetail.do?buyersourcingno=1595,#1631과 동일 회사의 별도 매칭 항목,B,https://www.eurokos.lt/,,,+370 37 351624,"Taikos pr. 100, LT-51194 Kaunas, Lithuania",,,,#1631과 동일 회사의 별도 매칭 항목
tradeKorea_KITA,1573,Grant Eones,Japan,"Beauty & Personal Care, beauty appliance, hair growth",Beauty Devices,2026,https://kr.tradekorea.com/seller/buyer/buyerMatchingDetail.do?buyersourcingno=1573,뷰티 디바이스/헤어 그로스 중심,B,https://lalagrant.jp/,,main: info@grant-e-ones.jp,+81 776-26-2800,"〒910-0064 福井県福井市新田塚町305番地 (Fukui, Japan)","稲井田 章治 (Ina-ida Shoji), 대표이사 겸 CEO",,,뷰티 디바이스·헤어 그로스 제품 소싱. 한국 K-Beauty 디바이스 가능성
tradeKorea_KITA,1626,PT Merdis International,Indonesia,"beauty device, kitchen appliances, home gym",Consumer Goods Importer,2026,https://kr.tradekorea.com/seller/buyer/buyerMatchingDetail.do?buyersourcingno=1626,"2007년 설립, 한·일·중 브랜드 유통, BODIMAX 자체 브랜드",B,https://merdis.co.id/,,main: (사이트에 양식 폼),+62 882-9904-6266,"DBS Tower 12th Floor, South Jakarta, Indonesia",,"@vanavindonesia (Instagram), @vanav.indonesia (TikTok)","2007 설립, AEON/Lotte/Sogo/Yogiya 등 300+ 오프라인 + Shopee/Tokopedia/Lazada/TikTok Shop",BODIMAX 자체 브랜드 운영. 한·일·중 브랜드 인도네시아 유통 전문
tradeKorea_KITA,1550,PANION & BF BIOTECH INC.,Taiwan,"mask sheet, mask, face mask, 3step mask",Medical Beauty Mfr,2026,https://kr.tradekorea.com/seller/buyer/buyerMatchingDetail.do?buyersourcingno=1550,"제약/메디컬뷰티, 마스크 시트 전문",A,https://en.pbf.com.tw/,,supplier: supplier@pbf.com.tw (공급망관리부) | service: service@pbf.com.tw (영업지원부) | ir: ir@pbf.com.tw,+886 2 2655-8218,"16F No.3 Yuanqu Street, Nangang District, Taipei 115, Taiwan R.O.C.",공급망관리부장 林慧如 (Lin Hui-Ju) - ext 207 / 영업지원부 주임 鄭筱娟 - ext 870,LinkedIn: Panion & BF Biotech Inc,"1976 설립, 대만증권거래소 상장 (1760.TW)",제약·메디컬뷰티 그룹. 마스크 시트 OEM 소싱 중
tradeKorea_KITA,1460,MR D.I.Y. GROUP (M) BERHAD,Malaysia,"household, hardware, Halal food, Halal cosmetic",Mega-Retailer,2026,https://kr.tradekorea.com/seller/buyer/buyerMatchingDetail.do?buyersourcingno=1460,"USD $4.0B 매출, 1,000+ 대형매장, 할랄 화장품 수입 의향",A,https://www.mrdiy.com/,https://mrdiy.com.my/,,+603 8961 1338 (Customer Careline),"1907, Jalan KPB 11, Kampung Baru Balakong, 43300 Seri Kembangan, Selangor, Malaysia",,"@mrdiy2u (Instagram), LinkedIn: MR DIY Malaysia","USD 4.0B 매출, 1,000+ 매장 (말레이시아·브루나이), 20,000+ SKU",할랄 화장품 카테고리 확장. 대형 retail에 K-Beauty 공급 가능성
tradeKorea_KITA,1300,Beauty Forma,Russia,"skin care, serum, mask pack, cosmetics",K-Beauty Distributor,2026,https://kr.tradekorea.com/seller/buyer/buyerMatchingDetail.do?buyersourcingno=1300,모스크바 천연/한일 화장품 온라인 유통,A,http://www.beautyforma.ru/,,,,"Moscow, Russia",,,,모스크바 천연/한일 K-Beauty 온라인 유통. 사이트 콘텐츠 fetch 실패 (직접 방문 필요)
